lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,E0,E1,gap01,status
0.6296969696969696,0.4991953062545661,0.930696823625976,1.2409290981679681,0.8320982838498576,0.6940848208261484,0.25222638871052855,0.5509326273871864,7.416093358548151,8.255372803937188,0.8392794453890371,✗
0.6309090909090909,0.4992966545944505,0.930696823625976,1.2409290981679681,0.8318632601383619,0.6938044706506987,0.25265080800910783,0.5516603421820876,7.415370131214521,8.254135091959089,0.8387649607445677,✗
0.6321212121212121,0.4993968373547266,0.930696823625976,1.2409290981679681,0.8316293382762915,0.6935260563151381,0.25307347572761274,0.5523836143108088,7.4146453992554475,8.252895190173941,0.8382497909184936,✗
0.6333333333333333,0.49949585638462846,0.930696823625976,1.2409290981679681,0.8313965188024124,0.6932495755821402,0.2534943877327829,0.5531024381808552,7.413919162042766,8.251653099423846,0.8377339373810804,✗
0.6345454545454545,0.4995937135257317,0.930696823625976,1.2409290981679681,0.8311648022461009,0.6929750262221247,0.25391353991658266,0.5538168082543972,7.413191418947352,8.250408820550685,0.8372174016033336,✗
0.6357575757575757,0.4996904106119191,0.930696823625976,1.2409290981679681,0.8309341891274515,0.6927024060133572,0.2543309281961326,0.554526719048088,7.412462169339114,8.249162354396088,0.8367001850569737,✗
0.636969696969697,0.49978594946933397,0.930696823625976,1.2409290981679681,0.8307046799573815,0.6924317127420564,0.25474654851364265,0.5552321651328643,7.4117314125870255,8.247913701801401,0.836182289214376,✗
0.6381818181818182,0.4998803319163415,0.930696823625976,1.2409290981679681,0.8304762752377353,0.6921629442024944,0.25516039683634567,0.5559331411337569,7.410999148059072,8.246662863607808,0.8356637155487361,✗
0.6393939393939394,0.49997355976349456,0.930696823625976,1.2409290981679681,0.8302489754613915,0.691896098197096,0.25557246915642556,0.5566296417297046,7.4102653751223055,8.245409840656231,0.8351444655339257,✗
0.6406060606060606,0.5000656348134928,0.930696823625976,1.2409290981679681,0.830022781112352,0.6916311725365271,0.2559827614909762,0.5573216616533921,7.409530093142817,8.244154633787229,0.8346245406444117,✗
0.6418181818181817,0.5001565588611562,0.930696823625976,1.2409290981679681,0.8297976926658513,0.6913681650397892,0.2563912698819212,0.5580091956910698,7.408793301485744,8.242897243841334,0.8341039423555898,✗
0.643030303030303,0.5002463336933836,0.930696823625976,1.2409290981679681,0.8295737105884472,0.6911070735343097,0.25679799039596973,0.5586922386823816,7.408054999515274,8.241637671658623,0.8335826721433488,✗
0.6442424242424242,0.5003349610891314,0.930696823625976,1.2409290981679681,0.8293508353381124,0.6908478958560168,0.25720291912456544,0.5593707855202313,7.407315186594641,8.240375918079016,0.833060731484375,✗
0.6454545454545454,0.5004224428193826,0.930696823625976,1.2409290981679681,0.829129067364333,0.6905906298494281,0.25760605218382643,0.5600448311506079,7.406573862086129,8.23911198394211,0.8325381218559809,✗
0.6466666666666666,0.5005087806471167,0.930696823625976,1.2409290981679681,0.8289084071081914,0.6903352733677239,0.2580073857145071,0.5607143705724521,7.405831025351086,8.237845870087314,0.8320148447362286,✗
0.6478787878787878,0.5005939763272877,0.930696823625976,1.2409290981679681,0.8286888550024627,0.690081824272827,0.25840691588193876,0.5613793988375018,7.405086675749897,8.236577577353694,0.8314909016037975,✗
0.649090909090909,0.5006780316068032,0.930696823625976,1.2409290981679681,0.8284704114716912,0.6898302804354637,0.25880463887600447,0.5620399110501825,7.4043408126420065,8.23530710658016,0.8309662939381539,✗
0.6503030303030303,0.5007609482245011,0.930696823625976,1.2409290981679681,0.8282530769322823,0.6895806397352395,0.2592005509110828,0.5626959023674595,7.403593435385916,8.2340344586052,0.8304410232192838,✗
0.6515151515151515,0.5008427279111282,0.930696823625976,1.2409290981679681,0.8280368517925824,0.6893329000607038,0.25959464822601475,0.5633473679987171,7.402844543339181,8.232759634267124,0.8299150909279431,✗
0.6527272727272727,0.5009233723893247,0.930696823625976,1.2409290981679681,0.8278217364529525,0.6890870593094037,0.25998692708407867,0.5639943032056614,7.402094135858418,8.23148263440396,0.8293884985455424,✗
0.6539393939393939,0.5010028833736055,0.930696823625976,1.2409290981679681,0.8276077313058648,0.6888431153879601,0.26037738377292724,0.564636703302164,7.401342212299305,8.23020345985347,0.8288612475541655,✗
0.6551515151515152,0.5010812625703513,0.930696823625976,1.2409290981679681,0.8273948367359547,0.6886010662120978,0.26076601460459764,0.5652745636542251,7.400588772016575,8.228922111453045,0.8283333394364698,✗
0.6563636363636364,0.5011585116777888,0.930696823625976,1.2409290981679681,0.8271830531201133,0.6883609097067193,0.2611528159154518,0.5659078796798193,7.399833814364019,8.227638590039874,0.8278047756758546,✗
0.6575757575757575,0.5012346323859833,0.930696823625976,1.2409290981679681,0.8269723808275504,0.688122643805942,0.26153778406616957,0.5665366468488333,7.399077338694497,8.226352896450866,0.8272755577563693,✗
0.6587878787878787,0.5013096263768287,0.930696823625976,1.2409290981679681,0.8267628202198686,0.6878862664531493,0.26192091544171764,0.5671608606829706,7.398319344359927,8.225065031522576,0.8267456871626484,✗
0.6599999999999999,0.5013834953240373,0.930696823625976,1.2409290981679681,0.8265543716511344,0.687651775601037,0.2623022064513262,0.5677805167556599,7.397559830711305,8.223774996091288,0.826215165379983,✗
0.6612121212121211,0.5014562408931368,0.930696823625976,1.2409290981679681,0.826347035467938,0.6874191692116444,0.2626816535284827,0.5683956106920068,7.39679879709868,8.222482790993045,0.8256839938943648,✗
0.6624242424242424,0.501527864741463,0.930696823625976,1.2409290981679681,0.8261408120094613,0.6871884452563983,0.263059253130911,0.5690061381687083,7.396036242871171,8.221188417063509,0.825152174192338,✗
0.6636363636363636,0.501598368518157,0.930696823625976,1.2409290981679681,0.8259357016075412,0.6869596017161463,0.26343500174056045,0.569612094913994,7.395272167376967,8.219891875138119,0.8246197077611521,✗
0.6648484848484848,0.5016677538641638,0.930696823625976,1.2409290981679681,0.8257317045867322,0.6867326365811898,0.26380889586358874,0.5702134767075648,7.394506569963328,8.218593166051923,0.8240865960885948,✗
0.666060606060606,0.5017360224122305,0.930696823625976,1.2409290981679681,0.8255288212643567,0.6865075478513069,0.26418093203037457,0.5708102793805584,7.393739449976579,8.217292290639744,0.8235528406631651,✗
0.6672727272727272,0.5018031757869107,0.930696823625976,1.2409290981679681,0.8253270519505717,0.6862843335357836,0.26455110679549343,0.571402498815491,7.392970806762129,8.215989249736072,0.8230184429739431,✗
0.6684848484848485,0.501869215604565,0.930696823625976,1.2409290981679681,0.825126396948421,0.6860629916534365,0.26491941673772185,0.5719901309462196,7.392200639664451,8.214684044175067,0.8224834045106162,✗
0.6696969696969697,0.501934143473366,0.930696823625976,1.2409290981679681,0.8249268565538802,0.6858435202326256,0.26528585846005365,0.5725731717579293,7.391428948027094,8.213376674790574,0.8219477267634803,✗
0.6709090909090909,0.5019979609933037,0.930696823625976,1.2409290981679681,0.8247284310559188,0.6856259173112808,0.265650428589683,0.573151617287081,7.390655731192683,8.212067142416156,0.8214114112234734,✗
0.6721212121212121,0.502060669756194,0.930696823625976,1.2409290981679681,0.8245311207365447,0.6854101809369114,0.2660131237780188,0.5737254636214052,7.389880988502925,8.210755447885026,0.8208744593821011,✗
